Date,Close/Last,Volume,Open,High,Low,Day
45099,918.027,1222,916.81,924.84,911.06,419
45098,925,814,914.43,925.8,910.91,420
45097,926.7,3030,926.95,931.25,919.75,421
45093,948.193,2550,947.59,952,945.6294,422
45092,925,13836,912.7231,928.69,912.6501,423
45091,915.5545,459,919.63,924.64,912,424
45090,910.015,1839,901.7266,913.72,901.7266,425
45089,902.68,2277,903.18,903.18,895.978,426
45086,882,1272,883.969,886.27,881,427
45085,882.8,29381,879.16,888.0762,876.82,428
45084,866.27,1689,872.27,877.304,866.25,429
45083,868.95,1412,867.2,876.0882,866.34,430
45082,872.25,2310,874.69,879.41,870.5,431
45079,889,2489,893.17,899.93,888.5304,432
45078,869.615,1867,864.525,870.43,858.456,433
45077,875,2568,878.51,878.51,862.16,434
45076,898.3895,1364,908.97,911.7,894.81,435
45072,908.95,1016,902.24,911.33,902.24,436
45071,886.11,1923,876.05,888,875,437
45070,879.774,1654,880.35,884.43,877,438
45069,897,2679,912.48,912.48,893.858,439
45068,949.615,1240,952.95,957.8,948.18,440
45065,947.1275,892,947.87,951.5033,945,441
45064,940.295,888,949.65,954.29,928.23,442
45063,954.3212,788,952.7,957.22,940.25,443
45062,949.5,1727,950.892,955.02,949.5,444
45061,962.9,859,956.96,962.9,955,445
45058,960.25,813,962.31,966.03,956,446
45057,971.766,1808,964.36,979.71,959.716,447
45056,956.305,1030,960.72,964.88,950.67,448
45055,965.082,990,959.57,969.81,959.57,449
45054,975.56,944,975.88,980.62,971.41,450
45051,970.15,774,959.89,972.502,959.89,451
45050,966.25,9749,964.95,970.58,961.19,452
45049,974.004,3309,975.48,979.99,966.91,453
45048,961,2263,952.04,964.15,947.57,454
45047,955.23,1525,955.75,964.52,955.23,455
45044,960.8035,968,952.53,963.39,951.42,456
45043,976,3130,981.248,981.248,965.25,457
45042,960.4,2597,960.05,973.38,957.72,458
45041,970.48,2950,981.411,981.45,965,459
45040,996.325,32667,996.88,998.83,995,460
45037,1000,3308,987,1000,984,461
45036,986.6,2040,981.55,987,977.19,462
45035,972.64,3015,970.416,976.495,967.2,463
45034,967,1167,971.34,971.34,961.17,464
45033,955.78,4436,961.48,962.1,950,465
45030,985.5,3201,983.26,985.88,976,466
45029,983.8,4531,957,984.55,957,467
45028,950.2,2474,927.2,960,908,468
45027,920,1277,936.83,936.83,917.2455,469
